pw_session_id;pw_event_id;pw_search_category;pw_search_keyword;pw_search_results_count
6406439739;21612587377;zoeken;vervroegd examen doen;30
6406446483;21612649055;zoeken;Voortgezet onderwijs;22320
6406447117;21612605997;zoeken;passend onderwijs brochure;120
6406450805;21612843017;zoeken;studiedag;80
6406450849;21612628819;zoeken;studiekeuzebegeleiding;0
6406450849;21612635269;zoeken;studiekeuzebegeleiding;0
6406452527;21612629069;zoeken;vooropleidingen;50
6406453967;21612638891;zoeken;Voortgezet onderwijs vakantie;420
6406458719;21612655231;zoeken;kwalificatieplicht;170
6406464925;21612797495;zoeken;Emigratie;240
6406464925;21612831249;zoeken;Emigratie;240
6406464925;21612901151;zoeken;Onderwijs emigratie;90
6406465765;21612680077;zoeken;overgangsbewijs;10
6406465845;21612678509;zoeken;paasvakantie;10
6406465887;21612785671;zoeken;Thuis;15870
6406469903;21612842173;zoeken;School verlof;310
6406469903;21612857067;zoeken;School verlof huwelijk;20
6406471737;21612713993;zoeken;OverIcnt schoolvakantie 2024;0
6406473573;21612711243;zoeken;Vrij weigeren;1040
6406476159;21612732431;zoeken;Welke niveau 4F naar C is;110
6406480543;21612743911;zoeken;basisbeurs vergoeding;160
6406485451;21612763981;zoeken;rekenen;8730
6406486007;21612763311;zoeken;Zoma;0
6406491427;21612793043;zoeken;Schoolvakanties 2023 2024;70
6406493399;21613120499;zoeken;3-6-9;210
6406493399;21613124901;zoeken;<anonimized>;60
6406494723;21612809715;zoeken;Herfstvakanties;10
6406497689;21612810249;zoeken;raamwerk NT2;10
6406498327;21613018441;zoeken;Schoolvak 24   25;30
6406504391;21612851485;zoeken;Bouwvak;20
6406510809;21612892039;zoeken;Havo;2060
6406513885;21612903529;zoeken;2024;20750
6406516695;21612901103;zoeken;Contact;104020
6406518445;21612899393;zoeken;leerplicht;680
6406518445;21612901819;zoeken;leerplicht;680
6406521187;21612903549;zoeken;energietoeslag 2022;780
6406526935;21612924659;zoeken;Bestuursacademie Nederland;10
6406528167;21613084097;zoeken;Leraren;5240
6406531423;21612952399;zoeken;Wesepe;0
6406543243;21613023615;zoeken;'s hoolvakantie voortgezet onderwijs;0
6406545823;21613003335;zoeken;Regio noord;5170
6406547961;21613013053;zoeken;schoolverzuim na de zomervakantie;30
6406550251;21613032885;zoeken;slaag- zakregeling mbo;60
6406550251;21613040711;zoeken;mbo slaag- zakregeling rekenen engels nederlands;0
6406558189;21613055647;zoeken;Herfstvakantie;310
6406561589;21613101781;zoeken;stroomschema tlv;0
6406561589;21613195411;zoeken;toelaatbaarheidsverklaring;260
6406561589;21613197965;zoeken;toelaatbaarheidsverklaring;260
6406561589;21613200001;zoeken;toelaatbaarheidsverklaring;260
6406561589;21613203539;zoeken;zorgplicht;2400
6406566423;21613092243;zoeken;Mei;51050
6406576851;21613130819;zoeken;Vakantie 2023 2024;290
6406581937;21613143171;zoeken;Obstetrie verpleegkundige;20
6406582035;21613143903;zoeken;onderzoekskader;580
6406587185;21613173625;zoeken;2024;20750
6406601979;21613227271;zoeken;aanvragen basisbeurs;350
6406603563;21613227865;zoeken;lichamelijke opvoeding;330
6406608413;21613249281;zoeken;Herfstvakantie;310
6406610869;21613265269;zoeken;Update;11890
6406613179;21613264833;zoeken;Verlof huwelijk school;20
6406613179;21613292899;zoeken;Verlof basisschool;40
6406613589;21613297741;zoeken;Kerstvakantie;720
6406624263;21613317895;zoeken;vrijstellingen mbo;80
6406631063;21613369267;zoeken;Getrouwmatiezeert pesten;0
6406631063;21613380517;zoeken;Trouwma van pesten;0
6406637509;21613359245;zoeken;hoofdluis;10
6406637693;21613386289;zoeken;Almere;3310
6406640283;21613366395;zoeken;2022 2023;36380
6406640283;21613366681;zoeken;2024 2025;6070
6406648095;21613402999;zoeken;Gezinscoach;0
6406648845;21613411071;zoeken;Schoolvakantie 2023-2024;30
6406651421;21613533351;zoeken;feestdagen;1670
6406653881;21613445119;zoeken;Zomervakantie 2024;190
6406654777;21613428593;zoeken;Reizen met minderjarigen;300
6406657767;21613442697;zoeken;tijdelijke huisvesting;2830
6406659475;21613524441;zoeken;Kerst vakantie school;100
6406661177;21613457745;zoeken;Datum inning wettelijk collegegeld;0
6406661281;21613616417;zoeken;prestatie ladder;50
6406661281;21613632453;zoeken;klimaat;40790
6406664101;21613468081;zoeken;radicalisering;1450
6406666647;21613477939;zoeken;Leraar worden;1710
6406668261;21613503819;zoeken;Onderhandelingen cao vo;70
